air_date,season,episode_overall,episode_in_season,song,original_artist,genre,original_release_year,years_since_release,performed_by,is_cameo,duet_with,version_covered,rerun,video_id,video_url,video_source,video_title,video_views,video_seconds
2019-09-09,1,1,1,9 to 5,Dolly Parton,Country,1980,39,Kelly Clarkson,no,,,no,l9WQmsJP9sU,https://www.youtube.com/watch?v=l9WQmsJP9sU,KC Videos archive,Kellyoke | 9 to 5 (Dolly Parton),103000,150
2019-09-10,1,2,2,Sucker,Jonas Brothers,Rock,2019,0,Kelly Clarkson,no,,,no,r8LqF7zZsKc,https://www.youtube.com/watch?v=r8LqF7zZsKc,KC Videos archive,Kellyoke | Sucker (Jonas Brothers),20000,95
2019-09-11,1,3,3,Bad Romance,Lady Gaga,Pop,2009,10,Kelly Clarkson,no,,,no,JPqNT4_SmfA,https://www.youtube.com/watch?v=JPqNT4_SmfA,KC Videos archive,Kellyoke | Bad Romance (Lady Gaga),135000,88
2019-09-12,1,4,4,Think,Aretha Franklin,R&B / Soul,1968,51,Kelly Clarkson,no,,,no,V7aitFRw7Qg,https://www.youtube.com/watch?v=V7aitFRw7Qg,KC Videos archive,Kellyoke | Think (Aretha Franklin),88000,95
2019-09-13,1,5,5,Chandelier,Sia,Pop,2014,5,Kelly Clarkson,no,,,no,Y0jUm9dk7_0,https://www.youtube.com/watch?v=Y0jUm9dk7_0,KC Videos archive,Kellyoke | Chandelier (Sia),628000,106
2019-09-16,1,6,6,Ain't No Other Man,Christina Aguilera,Pop,2006,13,Kelly Clarkson,no,,,no,LoChRaKWcrA,https://www.youtube.com/watch?v=LoChRaKWcrA,KC Videos archive,Kellyoke | Ain't No Other Man (Christina Aguilera),21000,90
2019-09-17,1,7,7,Miss Me More,Kelsea Ballerini,Country,2018,1,Kelly Clarkson,no,,,no,R53Il0l4Jx4,https://www.youtube.com/watch?v=R53Il0l4Jx4,KC Videos archive,Kellyoke | Miss Me More (Kelsea Ballerini),14000,73
2019-09-18,1,8,8,Straight Up,Paula Abdul,Pop,1988,31,Kelly Clarkson,no,,,no,-bcJpBJD3s8,https://www.youtube.com/watch?v=-bcJpBJD3s8,KC Videos archive,Kellyoke | Straight Up (Paula Abdul),15000,106
2019-09-19,1,9,9,Believer,Imagine Dragons,Rock,2017,2,Kelly Clarkson,no,,,no,rHxbwgbw1Sc,https://www.youtube.com/watch?v=rHxbwgbw1Sc,KC Videos archive,Kellyoke | Believer (Imagine Dragons),180000,116
2019-09-20,1,10,10,Express Yourself,Madonna,Electronic,1989,30,Kelly Clarkson,no,,,no,2qt8u7N3Tuk,https://www.youtube.com/watch?v=2qt8u7N3Tuk,KC Videos archive,Kellyoke | Express Yourself (Madonna),26000,109
2019-09-23,1,11,11,Shut Up and Dance,Walk the Moon,Rock,2014,5,Kelly Clarkson,no,,,no,83jqyKryrvU,https://www.youtube.com/watch?v=83jqyKryrvU,KC Videos archive,Kellyoke | Shut Up & Dance (WALK THE MOON),51000,89
2019-09-24,1,12,12,Let's Go Crazy,Prince and The Revolution,Rock,1984,35,Kelly Clarkson,no,,,no,nE3sk876mGQ,https://www.youtube.com/watch?v=nE3sk876mGQ,KC Videos archive,Kellyoke | Let's Go Crazy (Prince),27000,91
2019-09-25,1,13,13,If It Makes You Happy,Sheryl Crow,Rock,1996,23,Kelly Clarkson,no,,,no,26S5HmbNYQQ,https://www.youtube.com/watch?v=26S5HmbNYQQ,KC Videos archive,Kellyoke | If It Makes You Happy (Sheryl Crow),29000,105
2019-09-26,1,14,14,Till the World Ends,Britney Spears,Pop,2011,8,Kelly Clarkson,no,,,no,WZEvrgEI1qw,https://www.youtube.com/watch?v=WZEvrgEI1qw,KC Videos archive,Kellyoke | Til the World Ends (Britney Spears),24000,92
2019-09-27,1,15,15,Why Haven't I Heard from You,Reba McEntire,Country,1994,25,Kelly Clarkson,no,,,no,Ixw1GO6XbpY,https://www.youtube.com/watch?v=Ixw1GO6XbpY,KC Videos archive,Kellyoke | Why Haven't I Heard From You (Reba),17000,105
2019-09-30,1,16,16,Juice,Lizzo,World,2019,0,Kelly Clarkson,no,,,no,rmH8IMePMN4,https://www.youtube.com/watch?v=rmH8IMePMN4,KC Videos archive,Kellyoke | Juice (Lizzo),33000,98
2019-10-01,1,17,17,Walking on Broken Glass,Annie Lennox,Pop,1992,27,Kelly Clarkson,no,,,no,uFkPSZIyU6U,https://www.youtube.com/watch?v=uFkPSZIyU6U,KC Videos archive,Kellyoke | Walking on Broken Glass (Annie Lennox),52000,93
